Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Breach Submission Date,Type of Breach,Location of Breached Information,Business Associate Present,Year
AMITA Health Medical Group Primary Care Hoffman Estates,IL,Healthcare Provider,1647,30/11/2021,Unauthorized Access/Disclosure,Email,No,2021
Sound Generations,WA,Business Associate,103576,29/11/2021,Hacking/IT Incident,Network Server,Yes,2021
Broward County Public Schools,FL,Health Plan,49608,29/11/2021,Hacking/IT Incident,Network Server,No,2021
Region IV Area Agency on Aging,MI,Health Plan,3171,29/11/2021,Hacking/IT Incident,Email,No,2021
"Neuro Rehab Associates, Inc. d/b/a Northeast Rehabilitation Hospital Network",NH,Healthcare Provider,501,29/11/2021,Hacking/IT Incident,Network Server,No,2021
Upstate HomeCare,NY,Healthcare Provider,5114,24/11/2021,Hacking/IT Incident,Network Server,No,2021
Huntington Hospital,NY,Healthcare Provider,12925,24/11/2021,Unauthorized Access/Disclosure,Electronic Medical Record,No,2021
"Minnesota Women's Care, P.A.",MN,Healthcare Provider,1900,24/11/2021,Unauthorized Access/Disclosure,Paper/Films,No,2021
OAA Orthopaedic Associates,PA,Healthcare Provider,18052,23/11/2021,Hacking/IT Incident,Network Server,No,2021
Howard University College of Dentistry,DC,Healthcare Provider,80915,23/11/2021,Hacking/IT Incident,"Electronic Medical Record, Network Server",No,2021
TriValley Primary Care,PA,Healthcare Provider,122806,23/11/2021,Hacking/IT Incident,Network Server,No,2021
One Community Health,OR,Healthcare Provider,39865,22/11/2021,Hacking/IT Incident,Network Server,No,2021
United Health Centers of the San Joaquin Valley,CA,Healthcare Provider,500,19/11/2021,Hacking/IT Incident,Network Server,No,2021
"Anthem, Inc.",IN,Business Associate,2003,19/11/2021,Hacking/IT Incident,Network Server,Yes,2021
Blue Shield of California,CA,Health Plan,1520,19/11/2021,Hacking/IT Incident,Network Server,Yes,2021
Episcopal Retirement Services,OH,Healthcare Provider,4133,18/11/2021,Hacking/IT Incident,Network Server,No,2021
Marietta Area Health Care Inc. dba Memorial Health System,OH,Healthcare Provider,501,17/11/2021,Hacking/IT Incident,Network Server,No,2021
True Health New Mexico,NM,Health Plan,62983,17/11/2021,Hacking/IT Incident,Network Server,No,2021
"Magnet Solutions, Inc.",NE,Business Associate,1553,15/11/2021,Unauthorized Access/Disclosure,Paper/Films,Yes,2021
University of Houston for UH College of Optometry,TX,Healthcare Provider,18500,12/11/2021,Hacking/IT Incident,Network Server,No,2021
"The Centers for Advanced Orthopaedics, LLC",MD,Healthcare Provider,21162,11/11/2021,Hacking/IT Incident,Network Server,No,2021
Tom Wood Inc. Health Care Plan,IN,Health Plan,2235,11/11/2021,Hacking/IT Incident,Network Server,No,2021
Ophthalmology Associates,MN,Healthcare Provider,67000,11/11/2021,Hacking/IT Incident,"Electronic Medical Record, Network Server",No,2021
Integrated Services of Kalamazoo,MI,Healthcare Provider,3754,10/11/2021,Hacking/IT Incident,Email,No,2021
"North Spring Behavioral Healthcare, Inc.",VA,Healthcare Provider,3245,09/11/2021,Hacking/IT Incident,Electronic Medical Record,Yes,2021
The Urology Center of Colorado,CO,Healthcare Provider,137820,05/11/2021,Hacking/IT Incident,Network Server,No,2021
University of North Carolina Health,NC,Healthcare Provider,946,05/11/2021,Unauthorized Access/Disclosure,Electronic Medical Record,No,2021
University Hospital  ,NJ,Healthcare Provider,10067,05/11/2021,Unauthorized Access/Disclosure,Other,No,2021
Three Rivers Regional Commission,GA,Business Associate,2000,05/11/2021,Hacking/IT Incident,Network Server,Yes,2021
Mowery Clinic LLC,KS,Healthcare Provider,96000,05/11/2021,Hacking/IT Incident,Network Server,No,2021
New York Psychotherapy and Counseling Center,NY,Healthcare Provider,28000,05/11/2021,Hacking/IT Incident,Network Server,No,2021
Maxim Healthcare Group,MD,Healthcare Provider,65267,04/11/2021,Hacking/IT Incident,Email,No,2021
"Consociate, Inc.",IL,Business Associate,48583,03/11/2021,Hacking/IT Incident,Network Server,Yes,2021
Putnam County Memorial Hospital,MO,Healthcare Provider,6916,03/11/2021,Hacking/IT Incident,Network Server,No,2021
"Utah Imaging Associates, Inc.",UT,Healthcare Provider,582170,03/11/2021,Hacking/IT Incident,Network Server,No,2021
Washington DC VA Medical Center,DC,Healthcare Provider,1193,01/11/2021,Unauthorized Access/Disclosure,Email,No,2021
Sea Mar Community Health Centers,WA,Healthcare Provider,688000,30/10/2021,Hacking/IT Incident,Network Server,No,2021
Surecare Specialty Pharmacy,TX,Healthcare Provider,8412,29/10/2021,Hacking/IT Incident,Network Server,No,2021
"NHS Management, LLC",AL,Business Associate,501,29/10/2021,Hacking/IT Incident,Network Server,Yes,2021
"Samaritan Daytop Village, Inc.",NY,Healthcare Provider,15459,26/10/2021,Hacking/IT Incident,Network Server,No,2021
Lincare Holdings Inc.,FL,Healthcare Provider,1737775,26/10/2021,Hacking/IT Incident,Network Server,No,2021
ROSE H BAILEY DDS,WA,Healthcare Provider,3000,26/10/2021,Hacking/IT Incident,Desktop Computer,No,2021
"Star Group, L.P. Health Benefits Plan ",CT,Health Plan,9316,22/10/2021,Hacking/IT Incident,Network Server,No,2021
Educators Mutual Insurance Association,UT,Health Plan,8661,22/10/2021,Hacking/IT Incident,Network Server,No,2021
"QRS, Inc.",TN,Business Associate,319778,22/10/2021,Hacking/IT Incident,Network Server,Yes,2021
UNC Hospitals,NC,Healthcare Provider,719,19/10/2021,Unauthorized Access/Disclosure,"Desktop Computer, Electronic Medical Record",No,2021
"UMass Memorial Health Care, Inc.",MA,Business Associate,209048,15/10/2021,Hacking/IT Incident,Email,Yes,2021
"Syracuse ASC, LLC",NY,Healthcare Provider,24891,14/10/2021,Hacking/IT Incident,Network Server,No,2021
University Hospital,NJ,Healthcare Provider,9329,08/10/2021,Unauthorized Access/Disclosure,"Electronic Medical Record, Other",No,2021
Independent Health Corporation,NY,Business Associate,541,08/10/2021,Unauthorized Access/Disclosure,Email,Yes,2021
JDC Healthcare Management LLC,TX,Healthcare Provider,1077635,07/10/2021,Hacking/IT Incident,Network Server,No,2021
Carteret Health Care,NC,Healthcare Provider,1235,06/10/2021,Theft,Paper/Films,No,2021
Rockbridge Area Community Services Board,VA,Healthcare Provider,2000,04/10/2021,Hacking/IT Incident,Network Server,No,2021
OSF HealthCare System,IL,Healthcare Provider,53907,01/10/2021,Hacking/IT Incident,Network Server,No,2021
Eskenazi Health,IN,Healthcare Provider,1515918,01/10/2021,Hacking/IT Incident,Network Server,No,2021
Premier Management Company ,TX,Healthcare Provider,37636,30/09/2021,Unauthorized Access/Disclosure,"Laptop, Other, Other Portable Electronic Device",No,2021
"Digital Insurance, LLC doing business as OneDigital",GA,Health Plan,895,24/09/2021,Hacking/IT Incident,Network Server,No,2021
Griffith Energy Services Inc. Welfare Benefit Plan,MD,Health Plan,500,24/09/2021,Hacking/IT Incident,Network Server,No,2021
"Navistar, Inc. Health Plan and the Navistar, Inc. Retiree Health Benefit and Life Insurance Plan",IL,Health Plan,49000,24/09/2021,Hacking/IT Incident,Network Server,No,2021
Cerebral Medical Group,FL,Healthcare Provider,875,21/09/2021,Unauthorized Access/Disclosure,Other,No,2021
"McAllen Surgical Specialty Center, Ltd.",TX,Healthcare Provider,29227,20/09/2021,Hacking/IT Incident,"Desktop Computer, Electronic Medical Record, Laptop, Network Server",No,2021
Illinois Department of Human Services and Illinois Department of Healthcare and Family Services ,IL,Healthcare Provider,1960,20/09/2021,Hacking/IT Incident,Network Server,No,2021
Famous Enterprises Inc. Employee Benefit Plan,OH,Health Plan,528,17/09/2021,Hacking/IT Incident,Network Server,No,2021
Simon Eye Management,DE,Healthcare Provider,144373,14/09/2021,Hacking/IT Incident,Email,No,2021
Talbert House,OH,Healthcare Provider,45000,10/09/2021,Hacking/IT Incident,Network Server,No,2021
"Central Texas Medical Specialists, PLLC dba Austin Cancer Centers",TX,Healthcare Provider,36503,10/09/2021,Hacking/IT Incident,Network Server,No,2021
"HBP Financial Services Group, LTD",CT,Business Associate,938,08/09/2021,Hacking/IT Incident,Email,Yes,2021
"Radiology Associates of Albuquerque, PA and Advanced Imaging, LLC",NM,Healthcare Provider,501,08/09/2021,Hacking/IT Incident,Network Server,No,2021
City of Joplin,MO,Health Plan,513,08/09/2021,Hacking/IT Incident,Network Server,No,2021
"ADEC, Inc.",IN,Healthcare Provider,2000,03/09/2021,Hacking/IT Incident,Email,No,2021
"USV Optical, Inc.",NJ,Healthcare Provider,180000,03/09/2021,Hacking/IT Incident,Network Server,No,2021
Dan L. Beaupre,WI,Business Associate,2000,01/09/2021,Unauthorized Access/Disclosure,"Network Server, Paper/Films",Yes,2021
Thomas Eye Group,GA,Healthcare Provider,33994,30/08/2021,Unauthorized Access/Disclosure,Network Server,No,2021
"DuPage Medical Group, Ltd. ",IL,Healthcare Provider,655384,30/08/2021,Hacking/IT Incident,Network Server,No,2021
"CareATC, Inc.",OK,Healthcare Provider,98774,27/08/2021,Hacking/IT Incident,Email,No,2021
Family Medical Center of Michigan ,MI,Healthcare Provider,21988,26/08/2021,Hacking/IT Incident,Network Server,No,2021
"Denton County, Texas",TX,Healthcare Provider,326417,24/08/2021,Unauthorized Access/Disclosure,Network Server,No,2021
Gregory P. Vannucci DDS,IA,Healthcare Provider,26144,20/08/2021,Hacking/IT Incident,Network Server,No,2021
Nova Biomedical Corporation,MA,Health Plan,3774,17/08/2021,Hacking/IT Incident,Network Server,No,2021
Texoma Community Center,TX,Healthcare Provider,24021,16/08/2021,Hacking/IT Incident,Email,No,2021
"Alluma, Inc",MN,Healthcare Provider,4117,15/08/2021,Unauthorized Access/Disclosure,Paper/Films,No,2021
University Medical Center Southern Nevada,NV,Healthcare Provider,1300000,13/08/2021,Hacking/IT Incident,Network Server,No,2021
Waste Management Health and Welfare Benefits Plan,TX,Health Plan,922,12/08/2021,Hacking/IT Incident,Network Server,No,2021
"St. Joseph's/Candler Health System, Inc.",GA,Healthcare Provider,1400000,10/08/2021,Hacking/IT Incident,Network Server,No,2021
Electromed,MN,Healthcare Provider,47200,09/08/2021,Hacking/IT Incident,Network Server,No,2021
Wisconsin Institute of Urology S.C.,WI,Healthcare Provider,4819,05/08/2021,Hacking/IT Incident,Email,No,2021
Vision for Hope ,IL,Healthcare Provider,5517,03/08/2021,Hacking/IT Incident,Email,No,2021
UnitedHealth Group Single Affiliated Covered Entity,MN,Health Plan,774,30/07/2021,Unauthorized Access/Disclosure,Network Server,No,2021
Benefis Hospitals Inc,MT,Healthcare Provider,81043,27/07/2021,Hacking/IT Incident,Email,No,2021
NCH Corporation,TX,Health Plan,11427,24/07/2021,Hacking/IT Incident,Network Server,No,2021
Medi-Lynx Cardiac Monitoring,TX,Healthcare Provider,1841,23/07/2021,Hacking/IT Incident,Network Server,No,2021
North Oklahoma County Mental Health Center d/b/a NorthCare,OK,Healthcare Provider,128556,21/07/2021,Hacking/IT Incident,Network Server,No,2021
"Standard Modern Company, Inc. ",MA,Business Associate,2707,20/07/2021,Unauthorized Access/Disclosure,Paper/Films,Yes,2021
Youth Consultation Service,NJ,Healthcare Provider,2756,19/07/2021,Hacking/IT Incident,Network Server,No,2021
The University of North Carolina at Chapel Hill School of Medicine,NC,Healthcare Provider,2718,19/07/2021,Hacking/IT Incident,Email,No,2021
"Dynamic Health Care, Inc. ",IL,Business Associate,947,16/07/2021,Hacking/IT Incident,Network Server,Yes,2021
Adena Fayette Medical Center,OH,Healthcare Provider,1389,16/07/2021,Hacking/IT Incident,Email,No,2021
Bakersfield Hematology Oncology Inc.,CA,Healthcare Provider,1286,12/07/2021,Unauthorized Access/Disclosure,Electronic Medical Record,No,2021
Starling Physicians ,CT,Healthcare Provider,2808,09/07/2021,Hacking/IT Incident,Email,No,2021
Lake County Health Department and Community Health Center,IL,Healthcare Provider,705,08/07/2021,Unauthorized Access/Disclosure,Network Server,No,2021
HealthReach Community Health Centers,ME,Healthcare Provider,122340,06/07/2021,Improper Disposal,Electronic Medical Record,No,2021
Hot Springs Health Program,NC,Healthcare Provider,1984,06/07/2021,Unauthorized Access/Disclosure,Email,No,2021
"Coastal Family Health Center, Inc",MS,Healthcare Provider,62342,02/07/2021,Hacking/IT Incident,Network Server,No,2021
CentraCare Health System,MN,Healthcare Provider,842,02/07/2021,Hacking/IT Incident,Network Server,Yes,2021
"Professional Business Systems, Inc., d/b/a Practicefirst Medical Management Solutions and PBS Medcode Corp., (“Practicefirst”)",NY,Business Associate,1210688,01/07/2021,Hacking/IT Incident,Network Server,Yes,2021
Wayne County Hospital,IA,Healthcare Provider,2016,01/07/2021,Hacking/IT Incident,Email,No,2021
"Dermatology Group of Arkansas, PA",AR,Healthcare Provider,1579,29/06/2021,Hacking/IT Incident,Email,No,2021
Peoples Community Health Clinic,IA,Healthcare Provider,40084,29/06/2021,Hacking/IT Incident,Email,No,2021
"Smile Brands, Inc.",CA,Business Associate,2592494,24/06/2021,Hacking/IT Incident,Network Server,Yes,2021
MultiPlan,NY,Business Associate,214956,24/06/2021,Hacking/IT Incident,Email,Yes,2021
Aultman Health Foundation,OH,Healthcare Provider,7354,24/06/2021,Unauthorized Access/Disclosure,Electronic Medical Record,No,2021
University of Wisconsin Hospitals and Clinics Authority,WI,Healthcare Provider,4318,18/06/2021,Hacking/IT Incident,Network Server,No,2021
"JFK Medical Associates, PA d/b/a Coastal Medical Group",NJ,Healthcare Provider,1304,18/06/2021,Hacking/IT Incident,"Desktop Computer, Network Server",No,2021
Health Care Service Corp,IL,Health Plan,543,15/06/2021,Hacking/IT Incident,Network Server,Yes,2021
Golden Care Pharmacy LLC,NJ,Healthcare Provider,5530,14/06/2021,Hacking/IT Incident,"Desktop Computer, Electronic Medical Record, Network Server",No,2021
Illinois Attorney General's Office,IL,Business Associate,501,09/06/2021,Hacking/IT Incident,Network Server,Yes,2021
UC San Diego Health,CA,Healthcare Provider,495949,08/06/2021,Hacking/IT Incident,Network Server,No,2021
Glacier Medical Associates,MT,Healthcare Provider,3007,07/06/2021,Hacking/IT Incident,Network Server,No,2021
Wisconsin Department of Health Services,WI,Health Plan,2868,04/06/2021,Hacking/IT Incident,Email,No,2021
East Jordan Family Health Center,MI,Healthcare Provider,1151,04/06/2021,Hacking/IT Incident,Network Server,Yes,2021
Steward Medical Group,MA,Healthcare Provider,640,04/06/2021,Hacking/IT Incident,Email,No,2021
"AtriCure, Inc. Group Health Plan",OH,Health Plan,2487,04/06/2021,Hacking/IT Incident,Email,No,2021
Five Rivers Health Centers,OH,Healthcare Provider,155748,28/05/2021,Hacking/IT Incident,Email,No,2021
Lafourche Medical Group,LA,Healthcare Provider,34862,28/05/2021,Hacking/IT Incident,Email,No,2021
Sturdy Memorial Hospital,MA,Healthcare Provider,57379,28/05/2021,Hacking/IT Incident,Network Server,No,2021
Walgreen Co.,IL,Healthcare Provider,6498,28/05/2021,Improper Disposal,Paper/Films,No,2021
LogicGate,IL,Business Associate,47035,26/05/2021,Hacking/IT Incident,Network Server,Yes,2021
Buckeye Health Plan,OH,Health Plan,2334,26/05/2021,Hacking/IT Incident,Network Server,Yes,2021
Aspen Dental Management LLC,NY,Business Associate,9620,21/05/2021,Theft,Laptop,Yes,2021
Westwood Obstetrics and Gynecology (“Westwood”),IL,Healthcare Provider,12931,21/05/2021,Hacking/IT Incident,Network Server,Yes,2021
Beech Acres Parenting Center,OH,Healthcare Provider,8212,21/05/2021,Hacking/IT Incident,Email,No,2021
Swedish Covenant Health DBA Swedish Hospital ,IL,Healthcare Provider,4206,20/05/2021,Hacking/IT Incident,Email,No,2021
Rehoboth McKinley Christian Health Care Services,NM,Healthcare Provider,207195,19/05/2021,Hacking/IT Incident,Network Server,No,2021
Community Access Unlimited,NJ,Business Associate,13813,13/05/2021,Hacking/IT Incident,Network Server,Yes,2021
UnitedHealth Group Health Plan SACE,MN,Health Plan,666,10/05/2021,Unauthorized Access/Disclosure,"Network Server, Other",No,2021
"NEC Networks, LLC d/b/a CaptureRx",TX,Business Associate,1656569,05/05/2021,Hacking/IT Incident,Network Server,Yes,2021
Orthopedic Associates of Dutchess County ,NY,Healthcare Provider,331376,04/05/2021,Hacking/IT Incident,Network Server,No,2021
Wyoming Department of Health,WY,Health Plan,164010,29/04/2021,Unauthorized Access/Disclosure,Network Server,No,2021
Hand to Shoulder Specialists of Wisconsin Ltd.,WI,Healthcare Provider,39317,28/04/2021,Hacking/IT Incident,Network Server,No,2021
NPS Corporation,WI,Health Plan,999,28/04/2021,Hacking/IT Incident,Network Server,No,2021
Werner Electric Supply,WI,Health Plan,720,28/04/2021,Hacking/IT Incident,Network Server,No,2021
"East Brunswick Open Upright MRI, LLC",NJ,Healthcare Provider,12151,28/04/2021,Hacking/IT Incident,"Electronic Medical Record, Network Server",No,2021
"Open Upright MRI, LLC, d/b/a Woodbridge Radiology",NJ,Healthcare Provider,25272,28/04/2021,Hacking/IT Incident,"Electronic Medical Record, Network Server",No,2021
Entrust Medical Billing ,OH,Healthcare Provider,5426,22/04/2021,Hacking/IT Incident,Network Server,No,2021
Pediatric Associates of Milwaukee,WI,Healthcare Provider,8160,22/04/2021,Hacking/IT Incident,Network Server,No,2021
Gyrodata Incorporated,TX,Health Plan,944,22/04/2021,Hacking/IT Incident,Network Server,No,2021
"Center for Disease Detection, LLC",TX,Healthcare Provider,2436,21/04/2021,Unauthorized Access/Disclosure,Email,No,2021
"Health Aid of Ohio, Inc.",OH,Healthcare Provider,141149,20/04/2021,Hacking/IT Incident,Network Server,No,2021
Sterling Area Health Center,MI,Healthcare Provider,3336,15/04/2021,Hacking/IT Incident,Network Server,Yes,2021
Montefiore Medical Center ,NY,Healthcare Provider,943,13/04/2021,Unauthorized Access/Disclosure,Electronic Medical Record,No,2021
"Midwest Transplant Network, Inc.  ",KS,Healthcare Provider,17580,12/04/2021,Hacking/IT Incident,Network Server,No,2021
"HME Specialists, LLC dba Home Medical Equipment Holdco, LLC",NM,Healthcare Provider,153013,09/04/2021,Hacking/IT Incident,Email,No,2021
"Wolfe Clinic, P.C.",IA,Healthcare Provider,527378,09/04/2021,Hacking/IT Incident,Network Server,No,2021
Crystal Lake Clinic PC,MI,Healthcare Provider,37331,09/04/2021,Hacking/IT Incident,Network Server,No,2021
"Harbor Health Services, Inc.",MA,Healthcare Provider,901,09/04/2021,Hacking/IT Incident,Network Server,Yes,2021
"Maestro Health, LLC",IL,Business Associate,2016,06/04/2021,Hacking/IT Incident,Email,Yes,2021
Atlanta Allergy & Asthma,GA,Healthcare Provider,9851,05/04/2021,Hacking/IT Incident,Network Server,No,2021
Trinity Health,MI,Business Associate,586869,05/04/2021,Hacking/IT Incident,Network Server,Yes,2021
Total Health Care Inc.,MI,Health Plan,221454,05/04/2021,Hacking/IT Incident,Email,No,2021
University Medical Center Southern Nevada,NV,Healthcare Provider,1833,31/03/2021,Unauthorized Access/Disclosure,Network Server,Yes,2021
Midland Care Connection Inc,KS,Healthcare Provider,1364,29/03/2021,Hacking/IT Incident,Network Server,Yes,2021
Apple Valley Clinic,MN,Healthcare Provider,157939,26/03/2021,Hacking/IT Incident,Network Server,Yes,2021
Mott Community College,MI,Health Plan,1612,24/03/2021,Hacking/IT Incident,Network Server,No,2021
Illinois Department of Healthcare and Family Services ,IL,Health Plan,8848,22/03/2021,Unauthorized Access/Disclosure,Paper/Films,No,2021
"Gastroenterology Consultants, PA",TX,Healthcare Provider,161698,19/03/2021,Hacking/IT Incident,Network Server,No,2021
Cancer Treatment Centers of America at Midwestern Regional Medical Center,IL,Healthcare Provider,104808,19/03/2021,Hacking/IT Incident,Email,No,2021
Serenity Care PACE,MA,Healthcare Provider,658,16/03/2021,Unauthorized Access/Disclosure,"Network Server, Other",Yes,2021
The Home for the Little Wanderers,MA,Healthcare Provider,5396,26/02/2021,Unauthorized Access/Disclosure,Email,No,2021
Sincera Reproductive Medicine,PA,Healthcare Provider,37989,03/12/2020,Hacking/IT Incident,Network Server,No,2020
